trial_id,global_seed,scene_id,scene_seed,algorithm_type,algorithm,trial_seed,q_start,q_goal,target_position,target_quat_wxyz,success
10,42,scene_00_no_obstacle,20260525,ik,pinv,52,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9957336,-1.3857385,1.4959857,-1.6343579,-1.9219803,0.013319097]","[0.55,0.18,0.44]",,True
11,42,scene_00_no_obstacle,20260525,ik,pinv,53,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.989648,-1.3893103,1.5070357,-1.6551438,-1.9565499,0.01026916]","[0.55,0.18,0.44]",,True
12,42,scene_00_no_obstacle,20260525,ik,pinv,54,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9929363,-1.3804729,1.487225,-1.6135369,-1.9403448,0.025903746]","[0.55,0.18,0.44]",,True
13,42,scene_00_no_obstacle,20260525,ik,pinv,55,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9866851,-1.3851057,1.495261,-1.6146643,-1.9730346,0.001064212]","[0.55,0.18,0.44]",,True
14,42,scene_00_no_obstacle,20260525,ik,pinv,56,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9954857,-1.3847636,1.4942686,-1.6291294,-1.9236032,0.029753876]","[0.55,0.18,0.44]",,True
15,42,scene_00_no_obstacle,20260525,ik,pinv,57,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9924573,-1.385639,1.4944604,-1.6174556,-1.9378563,0.0073175916]","[0.55,0.18,0.44]",,True
16,42,scene_00_no_obstacle,20260525,ik,pinv,58,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9925911,-1.3864168,1.4994975,-1.6431614,-1.940555,-0.0044452338]","[0.55,0.18,0.44]",,True
17,42,scene_00_no_obstacle,20260525,ik,pinv,59,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9926215,-1.3839339,1.4968804,-1.6403541,-1.9423953,-0.01181758]","[0.55,0.18,0.44]",,True
18,42,scene_00_no_obstacle,20260525,ik,pinv,60,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9917584,-1.3868083,1.504297,-1.6607191,-1.9481471,0.021475589]","[0.55,0.18,0.44]",,True
19,42,scene_00_no_obstacle,20260525,ik,pinv,61,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9891647,-1.3874583,1.5063624,-1.6613928,-1.9625069,0.013099125]","[0.55,0.18,0.44]",,True
20,42,scene_00_no_obstacle,20260525,ik,pinv,62,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9922514,-1.3849433,1.4981056,-1.643084,-1.9448299,-0.0058281151]","[0.55,0.18,0.44]",,True
21,42,scene_00_no_obstacle,20260525,ik,pinv,63,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9958552,-1.3881461,1.494957,-1.6146667,-1.9144014,0.02137623]","[0.55,0.18,0.44]",,True
22,42,scene_00_no_obstacle,20260525,ik,pinv,64,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9978171,-1.385213,1.4904698,-1.6150974,-1.9076417,0.02476271]","[0.55,0.18,0.44]",,True
23,42,scene_00_no_obstacle,20260525,ik,pinv,65,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9938311,-1.3885843,1.5067652,-1.6669131,-1.9352059,-0.015100796]","[0.55,0.18,0.44]",,True
24,42,scene_00_no_obstacle,20260525,ik,pinv,66,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9884986,-1.3890555,1.5054919,-1.6472682,-1.9620393,-0.031035081]","[0.55,0.18,0.44]",,True
25,42,scene_00_no_obstacle,20260525,ik,pinv,67,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9983867,-1.3890968,1.4996946,-1.6391349,-1.9042366,0.016836805]","[0.55,0.18,0.44]",,True
26,42,scene_00_no_obstacle,20260525,ik,pinv,68,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9933161,-1.393985,1.5064852,-1.6299401,-1.9270758,0.016140707]","[0.55,0.18,0.44]",,True
27,42,scene_00_no_obstacle,20260525,ik,pinv,69,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.987261,-1.3909312,1.5118822,-1.6615059,-1.9691194,0.020849452]","[0.55,0.18,0.44]",,True
28,42,scene_00_no_obstacle,20260525,ik,pinv,70,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9969558,-1.3920548,1.5057482,-1.6488394,-1.9113128,-0.029288962]","[0.55,0.18,0.44]",,True
29,42,scene_00_no_obstacle,20260525,ik,pinv,71,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9945602,-1.3879007,1.4984855,-1.6314247,-1.925619,0.010211477]","[0.55,0.18,0.44]",,True
30,42,scene_00_no_obstacle,20260525,ik,pinv,72,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.991544,-1.3874496,1.5060586,-1.6653711,-1.9492967,-0.019153674]","[0.55,0.18,0.44]",,True
31,42,scene_00_no_obstacle,20260525,ik,pinv,73,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9963908,-1.3833871,1.4911001,-1.6247405,-1.9190742,-0.038935733]","[0.55,0.18,0.44]",,True
32,42,scene_00_no_obstacle,20260525,ik,pinv,74,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9902216,-1.3874268,1.5015328,-1.6391668,-1.9522675,-0.0064324337]","[0.55,0.18,0.44]",,True
33,42,scene_00_no_obstacle,20260525,ik,pinv,75,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9967028,-1.3842477,1.4927942,-1.6285039,-1.9171586,0.00049432823]","[0.55,0.18,0.44]",,True
34,42,scene_00_no_obstacle,20260525,ik,pinv,76,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9974537,-1.3858822,1.4939972,-1.6251426,-1.909949,-0.031285886]","[0.55,0.18,0.44]",,True
35,42,scene_00_no_obstacle,20260525,ik,pinv,77,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9940741,-1.3963027,1.5176917,-1.6756445,-1.9272368,-0.0028685189]","[0.55,0.18,0.44]",,True
36,42,scene_00_no_obstacle,20260525,ik,pinv,78,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9968223,-1.3890839,1.5020768,-1.6481686,-1.9143815,-0.0068690868]","[0.55,0.18,0.44]",,True
37,42,scene_00_no_obstacle,20260525,ik,pinv,79,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9954068,-1.3931872,1.50697,-1.6449966,-1.9183708,0.0001475831]","[0.55,0.18,0.44]",,True
38,42,scene_00_no_obstacle,20260525,ik,pinv,80,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9881648,-1.3905639,1.5075364,-1.6478332,-1.9624864,0.051060892]","[0.55,0.18,0.44]",,True
39,42,scene_00_no_obstacle,20260525,ik,pinv,81,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9955674,-1.3880174,1.4952372,-1.6162726,-1.9173074,0.00089557819]","[0.55,0.18,0.44]",,True
40,42,scene_00_no_obstacle,20260525,ik,pinv,82,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9884081,-1.3932747,1.5113559,-1.6479464,-1.9579832,-0.01518652]","[0.55,0.18,0.44]",,True
41,42,scene_00_no_obstacle,20260525,ik,pinv,83,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9929204,-1.3811276,1.4909466,-1.6296603,-1.9427732,0.023746766]","[0.55,0.18,0.44]",,True
42,42,scene_00_no_obstacle,20260525,ik,pinv,84,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9925646,-1.3768105,1.4809034,-1.6046525,-1.9451406,-0.0033955637]","[0.55,0.18,0.44]",,True
43,42,scene_00_no_obstacle,20260525,ik,pinv,85,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9902546,-1.3926728,1.5079485,-1.6430054,-1.9483,0.0077099003]","[0.55,0.18,0.44]",,True
44,42,scene_00_no_obstacle,20260525,ik,pinv,86,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9937691,-1.3808307,1.4900499,-1.6282824,-1.9379427,0.010204419]","[0.55,0.18,0.44]",,True
45,42,scene_00_no_obstacle,20260525,ik,pinv,87,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9897564,-1.3834466,1.4912296,-1.609019,-1.9544546,-0.011889173]","[0.55,0.18,0.44]",,True
46,42,scene_00_no_obstacle,20260525,ik,pinv,88,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9932452,-1.3829543,1.4911541,-1.621842,-1.9373217,0.018486522]","[0.55,0.18,0.44]",,True
47,42,scene_00_no_obstacle,20260525,ik,pinv,89,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9965007,-1.3878534,1.4985998,-1.6359396,-1.9158323,0.0067353521]","[0.55,0.18,0.44]",,True
48,42,scene_00_no_obstacle,20260525,ik,pinv,90,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9884369,-1.3898858,1.5017063,-1.6210182,-1.958169,0.00013607002]","[0.55,0.18,0.44]",,True
49,42,scene_00_no_obstacle,20260525,ik,pinv,91,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9949233,-1.3882021,1.4982281,-1.6302541,-1.9229037,-0.004311928]","[0.55,0.18,0.44]",,True
0,42,scene_00_no_obstacle,20260525,ik,dls,1042,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.990105,-1.3765605,1.4848507,-1.6181414,-1.9665873,0.017511158]","[0.55,0.18,0.44]",,True
1,42,scene_00_no_obstacle,20260525,ik,dls,1043,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9966178,-1.3927085,1.5115059,-1.6702538,-1.921831,0.016765033]","[0.55,0.18,0.44]",,True
2,42,scene_00_no_obstacle,20260525,ik,dls,1044,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9936286,-1.3919216,1.5071326,-1.6467201,-1.9378157,0.0085676061]","[0.55,0.18,0.44]",,True
3,42,scene_00_no_obstacle,20260525,ik,dls,1045,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9966688,-1.3865557,1.4969571,-1.6335975,-1.9224654,-0.007276036]","[0.55,0.18,0.44]",,True
4,42,scene_00_no_obstacle,20260525,ik,dls,1046,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9946829,-1.3904311,1.5068749,-1.6552128,-1.9333829,0.007464985]","[0.55,0.18,0.44]",,True
5,42,scene_00_no_obstacle,20260525,ik,dls,1047,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9969967,-1.3910869,1.5043939,-1.6432628,-1.9182074,0.010243113]","[0.55,0.18,0.44]",,True
6,42,scene_00_no_obstacle,20260525,ik,dls,1048,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.991309,-1.3889278,1.5001599,-1.6214192,-1.9502621,0.022122445]","[0.55,0.18,0.44]",,True
7,42,scene_00_no_obstacle,20260525,ik,dls,1049,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9968222,-1.3938155,1.5083902,-1.6483154,-1.91765,0.0073128046]","[0.55,0.18,0.44]",,True
8,42,scene_00_no_obstacle,20260525,ik,dls,1050,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9912714,-1.3780936,1.4871007,-1.6224057,-1.9584726,-0.016226539]","[0.55,0.18,0.44]",,True
9,42,scene_00_no_obstacle,20260525,ik,dls,1051,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9906989,-1.3832804,1.4938051,-1.620688,-1.9575544,0.0025893571]","[0.55,0.18,0.44]",,True
10,42,scene_00_no_obstacle,20260525,ik,dls,1052,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.993493,-1.3905148,1.5043549,-1.6394778,-1.9384256,-0.0066318121]","[0.55,0.18,0.44]",,True
11,42,scene_00_no_obstacle,20260525,ik,dls,1053,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9920082,-1.3864738,1.4965832,-1.6203793,-1.9472761,0.01272715]","[0.55,0.18,0.44]",,True
12,42,scene_00_no_obstacle,20260525,ik,dls,1054,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9952436,-1.3969924,1.5175147,-1.6702891,-1.9269834,0.009886653]","[0.55,0.18,0.44]",,True
13,42,scene_00_no_obstacle,20260525,ik,dls,1055,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9923202,-1.3907407,1.5011391,-1.6198163,-1.9424852,0.043377255]","[0.55,0.18,0.44]",,True
14,42,scene_00_no_obstacle,20260525,ik,dls,1056,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9899756,-1.3912508,1.5074021,-1.642938,-1.9568816,0.0063781516]","[0.55,0.18,0.44]",,True
15,42,scene_00_no_obstacle,20260525,ik,dls,1057,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9938552,-1.3924056,1.5068531,-1.6439689,-1.9358022,-0.022515484]","[0.55,0.18,0.44]",,True
16,42,scene_00_no_obstacle,20260525,ik,dls,1058,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9906902,-1.3852006,1.4982826,-1.6322157,-1.9581302,0.0033414106]","[0.55,0.18,0.44]",,True
17,42,scene_00_no_obstacle,20260525,ik,dls,1059,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9997547,-1.3839969,1.4875297,-1.6063413,-1.9030229,-0.02262708]","[0.55,0.18,0.44]",,True
18,42,scene_00_no_obstacle,20260525,ik,dls,1060,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9861996,-1.3901617,1.5067863,-1.6369775,-1.9805318,-0.028105968]","[0.55,0.18,0.44]",,True
19,42,scene_00_no_obstacle,20260525,ik,dls,1061,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9886128,-1.3964625,1.5177131,-1.6598016,-1.9638131,-0.0138194]","[0.55,0.18,0.44]",,True
20,42,scene_00_no_obstacle,20260525,ik,dls,1062,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9963645,-1.3966403,1.5148627,-1.6628872,-1.9189273,0.0068965317]","[0.55,0.18,0.44]",,True
21,42,scene_00_no_obstacle,20260525,ik,dls,1063,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.989676,-1.3877124,1.4975788,-1.6134163,-1.9593152,0.011031236]","[0.55,0.18,0.44]",,True
22,42,scene_00_no_obstacle,20260525,ik,dls,1064,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9895538,-1.3855364,1.499409,-1.6341115,-1.9645406,-0.0068136122]","[0.55,0.18,0.44]",,True
23,42,scene_00_no_obstacle,20260525,ik,dls,1065,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.0026413,-1.39582,1.5108466,-1.6595859,-1.8850368,0.024449376]","[0.55,0.18,0.44]",,True
24,42,scene_00_no_obstacle,20260525,ik,dls,1066,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9970691,-1.3846436,1.4910527,-1.6137386,-1.9195326,-0.040750413]","[0.55,0.18,0.44]",,True
25,42,scene_00_no_obstacle,20260525,ik,dls,1067,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9926759,-1.3876537,1.4969485,-1.6160481,-1.9418838,0.0098753058]","[0.55,0.18,0.44]",,True
26,42,scene_00_no_obstacle,20260525,ik,dls,1068,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9935878,-1.3939036,1.507216,-1.6335153,-1.9337082,-0.0051260074]","[0.55,0.18,0.44]",,True
27,42,scene_00_no_obstacle,20260525,ik,dls,1069,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9916068,-1.3898408,1.4992265,-1.6121113,-1.94556,-0.00046845797]","[0.55,0.18,0.44]",,True
28,42,scene_00_no_obstacle,20260525,ik,dls,1070,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9997212,-1.3888863,1.5005757,-1.6446655,-1.9041025,0.017440688]","[0.55,0.18,0.44]",,True
29,42,scene_00_no_obstacle,20260525,ik,dls,1071,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9939417,-1.3920061,1.5017427,-1.6149589,-1.93019,-0.017393439]","[0.55,0.18,0.44]",,True
30,42,scene_00_no_obstacle,20260525,ik,dls,1072,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.994602,-1.3887151,1.5011189,-1.6360995,-1.9328171,-0.002881103]","[0.55,0.18,0.44]",,True
31,42,scene_00_no_obstacle,20260525,ik,dls,1073,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.992815,-1.3817316,1.487717,-1.6058012,-1.9448436,-0.029126078]","[0.55,0.18,0.44]",,True
32,42,scene_00_no_obstacle,20260525,ik,dls,1074,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9942876,-1.3776614,1.4837106,-1.6149558,-1.9406125,0.00085436044]","[0.55,0.18,0.44]",,True
33,42,scene_00_no_obstacle,20260525,ik,dls,1075,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9953257,-1.3917357,1.5038703,-1.6342141,-1.9262429,-0.015209091]","[0.55,0.18,0.44]",,True
34,42,scene_00_no_obstacle,20260525,ik,dls,1076,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9891105,-1.3890732,1.4994961,-1.613278,-1.9601965,0.0067317323]","[0.55,0.18,0.44]",,True
35,42,scene_00_no_obstacle,20260525,ik,dls,1077,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9905994,-1.382528,1.4922787,-1.6207301,-1.9590555,-0.028916913]","[0.55,0.18,0.44]",,True
36,42,scene_00_no_obstacle,20260525,ik,dls,1078,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9959299,-1.3921692,1.5055581,-1.6402129,-1.923023,-0.00018461095]","[0.55,0.18,0.44]",,True
37,42,scene_00_no_obstacle,20260525,ik,dls,1079,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9954144,-1.3828023,1.4947549,-1.6436863,-1.9334336,0.0091188461]","[0.55,0.18,0.44]",,True
38,42,scene_00_no_obstacle,20260525,ik,dls,1080,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.0000714,-1.3881772,1.4938795,-1.6148293,-1.8998677,-0.030011983]","[0.55,0.18,0.44]",,True
39,42,scene_00_no_obstacle,20260525,ik,dls,1081,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9934868,-1.3906394,1.498281,-1.6080974,-1.9336455,-0.017792384]","[0.55,0.18,0.44]",,True
40,42,scene_00_no_obstacle,20260525,ik,dls,1082,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9879094,-1.3877825,1.501013,-1.6269025,-1.9713805,-0.02786778]","[0.55,0.18,0.44]",,True
41,42,scene_00_no_obstacle,20260525,ik,dls,1083,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.989639,-1.3897172,1.5079578,-1.6526939,-1.9633141,0.0152905]","[0.55,0.18,0.44]",,True
42,42,scene_00_no_obstacle,20260525,ik,dls,1084,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9977505,-1.3871291,1.4972428,-1.6336228,-1.9151709,0.015521379]","[0.55,0.18,0.44]",,True
43,42,scene_00_no_obstacle,20260525,ik,dls,1085,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9923216,-1.3901835,1.4997481,-1.6162466,-1.9417231,-0.0048451679]","[0.55,0.18,0.44]",,True
44,42,scene_00_no_obstacle,20260525,ik,dls,1086,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9950961,-1.3903795,1.4980013,-1.6116127,-1.9255399,0.0301279]","[0.55,0.18,0.44]",,True
45,42,scene_00_no_obstacle,20260525,ik,dls,1087,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9911419,-1.3788343,1.489606,-1.6301145,-1.9596149,-0.0081046537]","[0.55,0.18,0.44]",,True
46,42,scene_00_no_obstacle,20260525,ik,dls,1088,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9938571,-1.3962949,1.5116319,-1.6449222,-1.9315713,0.0034060688]","[0.55,0.18,0.44]",,True
47,42,scene_00_no_obstacle,20260525,ik,dls,1089,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.000838,-1.3906103,1.5042511,-1.6556724,-1.8972776,0.0022457891]","[0.55,0.18,0.44]",,True
48,42,scene_00_no_obstacle,20260525,ik,dls,1090,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9890471,-1.3820353,1.4923531,-1.6193818,-1.9685743,0.010242495]","[0.55,0.18,0.44]",,True
49,42,scene_00_no_obstacle,20260525,ik,dls,1091,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9960472,-1.3905349,1.5035598,-1.6414888,-1.923851,0.029341078]","[0.55,0.18,0.44]",,True
0,42,scene_00_no_obstacle,20260525,ik,lm,2042,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9936725,-1.3874562,1.4943889,-1.6072245,-1.9368772,-0.023425936]","[0.55,0.18,0.44]",,True
1,42,scene_00_no_obstacle,20260525,ik,lm,2043,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9983306,-1.3922781,1.5078038,-1.6570753,-1.912256,-0.051851312]","[0.55,0.18,0.44]",,True
2,42,scene_00_no_obstacle,20260525,ik,lm,2044,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9959598,-1.3881855,1.4997478,-1.6355302,-1.92637,0.010805043]","[0.55,0.18,0.44]",,True
3,42,scene_00_no_obstacle,20260525,ik,lm,2045,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9976602,-1.3936679,1.5102301,-1.6607004,-1.9159574,0.015354071]","[0.55,0.18,0.44]",,True
4,42,scene_00_no_obstacle,20260525,ik,lm,2046,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9918814,-1.3860567,1.4984951,-1.6319068,-1.9509566,-0.025122442]","[0.55,0.18,0.44]",,True
5,42,scene_00_no_obstacle,20260525,ik,lm,2047,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9888366,-1.3934576,1.5120949,-1.6484414,-1.9650001,0.0025620929]","[0.55,0.18,0.44]",,True
6,42,scene_00_no_obstacle,20260525,ik,lm,2048,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9992291,-1.3952645,1.5113492,-1.6585877,-1.9050495,-0.042198147]","[0.55,0.18,0.44]",,True
7,42,scene_00_no_obstacle,20260525,ik,lm,2049,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9990442,-1.3854423,1.4944885,-1.6339978,-1.9089267,-0.0076243673]","[0.55,0.18,0.44]",,True
8,42,scene_00_no_obstacle,20260525,ik,lm,2050,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.0021824,-1.3865114,1.4930029,-1.6256552,-1.8894206,-0.012505806]","[0.55,0.18,0.44]",,True
9,42,scene_00_no_obstacle,20260525,ik,lm,2051,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9923393,-1.389778,1.5003782,-1.620798,-1.9437115,0.029117575]","[0.55,0.18,0.44]",,True
10,42,scene_00_no_obstacle,20260525,ik,lm,2052,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.993619,-1.3858546,1.4943072,-1.6154879,-1.9391377,0.0082519441]","[0.55,0.18,0.44]",,True
11,42,scene_00_no_obstacle,20260525,ik,lm,2053,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9939162,-1.3804335,1.4822103,-1.5854138,-1.938016,0.0013767047]","[0.55,0.18,0.44]",,True
12,42,scene_00_no_obstacle,20260525,ik,lm,2054,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-2.9934664,-1.3926179,1.5096084,-1.6530068,-1.9402563,-0.027812306]","[0.55,0.18,0.44]",,True
